"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Dylan Demelo","24-25","WPG","D",6,124.6,0,0,1,1,3,8,14,0.11,0,0,1.38,11,12,1,10,9,2,1,0,0,-1,0,0,0
"Dylan McIlrath","24-25","WSH","D",4,41.43,0,0,0,0,2,3,6,0.06,0,0,2,2,4,1,10,4,1,1,1,1,0,0,0,0
"Dylan Samberg","24-25","WPG","D",6,125.62,1,1,0,2,9,13,22,0.35,11.11,7.69,2.69,7,7,5,8,11,1,1,0,0,0,0,0,0
"Egor Zamula","24-25","PHI","D",6,113.27,0,1,0,1,6,7,17,0.13,0,0,1.86,11,4,1,6,7,0,0,0,0,0,0,0,0
"Emil Martinsen Lilleberg","24-25","T.B","D",4,56,0,1,1,2,2,4,5,0.34,0,0,8.5,7,0,0,8,10,3,1,0,0,-2,0,0,0
"Erik Brannstrom","24-25","VAN","D",3,40.12,0,1,0,1,2,4,8,0.04,0,0,1,2,2,0,1,5,1,0,0,0,-1,0,0,0
"Erik Cernak","24-25","T.B","D",6,118.17,0,0,2,2,3,6,15,0.15,0,0,2.5,10,3,0,9,12,2,1,0,0,-1,0,0,0
"Erik Gudbranson","24-25","CBJ","D",3,47.32,0,0,0,0,1,2,5,0.03,0,0,1.5,3,3,0,3,3,1,0,0,0,-1,0,0,0
"Erik Gustafsson (D)","24-25","DET","D",4,70.35,0,1,1,2,9,10,13,0.31,0,0,3.1,5,8,1,2,6,3,0,0,0,-3,0,0,0
"Erik Johnson","24-25","PHI","D",5,65.85,0,0,1,1,1,3,4,0.13,0,0,4.33,3,5,0,6,9,1,1,0,0,0,0,0,0
"Erik Karlsson","24-25","PIT","D",8,181.6,1,2,3,6,15,28,42,1.46,6.67,3.57,5.21,10,14,5,1,9,0,2,0,0,2,0,0,0
"Esa Lindell","24-25","DAL","D",7,151.03,0,0,0,0,10,15,24,0.49,0,0,3.27,20,11,4,8,8,1,0,0,0,-1,0,0,0
"Evan Bouchard","24-25","EDM","D",7,176.28,1,0,1,2,20,27,61,1.47,5,3.7,5.44,9,16,7,3,8,1,2,0,0,1,0,0,0
"Filip Hronek","24-25","VAN","D",6,141.73,0,2,0,2,9,13,20,0.36,0,0,2.77,10,6,3,14,12,3,1,0,0,-2,0,0,0
"Gustav Forsling","24-25","FLA","D",8,188.28,2,1,1,4,16,22,42,0.67,12.5,9.09,3.05,5,9,6,4,5,2,0,0,0,-2,0,0,0
"Hampus Lindholm","24-25","BOS","D",7,153.95,1,1,1,3,17,22,39,0.52,5.88,4.55,2.36,8,12,5,3,17,1,2,0,0,1,0,0,0
"Haydn Fleury","24-25","WPG","D",4,60.2,0,0,0,0,5,8,15,0.13,0,0,1.62,6,2,2,2,4,0,0,0,0,0,0,0,0
"Henri Jokiharju","24-25","BUF","D",8,146.73,1,1,1,3,9,10,22,0.25,11.11,10,2.5,10,6,2,6,7,0,0,0,0,0,0,0,0
"Henry Thrun","24-25","S.J","D",7,117.52,0,0,0,0,6,9,18,0.17,0,0,1.89,7,2,0,2,10,2,0,1,1,-2,0,0,0
"Ian Cole","24-25","UTA","D",7,144.38,0,1,0,1,4,8,19,0.21,0,0,2.62,20,10,3,7,13,6,0,0,0,-6,0,0,0
"Ilya Lyubushkin","24-25","DAL","D",7,123.77,0,0,0,0,2,4,8,0.22,0,0,5.5,16,7,2,8,9,1,0,0,0,-1,0,0,0
"Ivan Provorov","24-25","CBJ","D",6,137.67,0,1,1,2,9,17,23,0.56,0,0,3.29,9,8,5,1,7,1,1,0,0,0,0,0,0
"Jaccob Slavin","24-25","CAR","D",5,111.55,0,1,1,2,7,15,24,0.37,0,0,2.47,11,5,6,2,4,1,0,0,0,-1,0,0,0
"Jack Johnson","24-25","CBJ","D",5,77.58,0,0,0,0,2,2,5,0.03,0,0,1.5,4,1,3,5,4,1,0,0,0,-1,0,0,0
"Jack St. Ivany","24-25","PIT","D",6,98.47,0,0,0,0,5,10,15,0.23,0,0,2.3,5,4,4,13,2,1,1,0,0,0,0,0,0
"Jack Thompson","24-25","S.J","D",2,33.62,0,0,1,1,3,5,12,0.07,0,0,1.4,4,6,0,2,2,0,0,0,0,0,0,0,0
"Jackson Lacombe","24-25","ANA","D",2,36.4,0,1,0,1,4,6,9,0.16,0,0,2.67,7,5,0,0,3,0,0,0,0,0,0,0,0
"Jacob Bernard-Docker","24-25","OTT","D",3,44.03,0,0,0,0,4,6,7,0.12,0,0,2,2,2,0,3,4,0,0,0,0,0,0,0,0
"Jacob Middleton","24-25","MIN","D",6,120.8,1,1,2,4,7,9,13,0.38,14.29,11.11,4.22,22,5,4,8,14,2,1,0,0,-1,0,0,0
"Jacob Trouba","24-25","NYR","D",6,123.18,0,3,1,4,16,18,25,0.3,0,0,1.67,16,7,2,8,6,2,3,1,1,1,0,0,0
"Jake Bean","24-25","CGY","D",5,81.88,0,0,2,2,3,4,6,0.07,0,0,1.75,5,7,2,0,15,0,1,0,0,1,0,0,0
